,Date,Location,Type,Startdate,Enddate,Participation,Ranks,Round
1,01 Jan - 07 Jan,BRISBANE Brisbane International presented by Suncorp,Premier,1/1/2017,1/7/2017,0,3,0
2,01 Jan - 07 Jan,SHENZHEN Shenzhen Open,International,1/1/2017,1/7/2017,1,2,2
3,02 Jan - 07 Jan,AUCKLAND ASB Classic,International,1/2/2017,1/7/2017,0,2,0
4,08 Jan - 14 Jan,HOBART Hobart International,International,1/8/2017,1/14/2017,0,2,0
5,08 Jan - 13 Jan,SYDNEY Apia International Sydney,Premier,1/8/2017,1/13/2017,0,3,0
6,16 Jan - 29 Jan,MELBOURNE Australian Open,Grand Slam,1/16/2017,1/29/2017,1,7,1
7,30 Jan - 05 Feb,TAIPEI CITY Taiwan Open,International,1/30/2017,2/5/2017,0,2,0
8,30 Jan - 05 Feb,ST. PETERSBURG St. Petersburg Ladies Trophy,Premier,1/30/2017,2/5/2017,1,3,2
9,11 Feb - 12 Feb,FED CUP,,2/11/2017,2/12/2017,0,0,0
10,13 Feb - 18 Feb,DOHA Qatar Total Open 2017,Premier,2/13/2017,2/18/2017,0,3,0
11,19 Feb - 25 Feb,DUBAI Dubai Duty Free Tennis Championships,Premier 5,2/19/2017,2/25/2017,0,4,0
12,20 Feb - 26 Feb,BUDAPEST Hungarian Ladies Open,International,2/20/2017,2/26/2017,0,2,0
13,27 Feb - 05 Mar,KUALA LUMPUR Alya Malaysian Open,International,2/27/2017,3/5/2017,0,2,0
14,27 Feb - 04 Mar,ACAPULCO Abierto Mexicano TELCEL presentado por HSBC,International,2/27/2017,3/4/2017,0,2,0
15,08 Mar - 19 Mar,INDIAN WELLS BNP Paribas Open,Premier Mandatory,3/8/2017,3/19/2017,1,5,3
16,21 Mar - 02 Apr,MIAMI Miami Open presented by Itaú,Premier Mandatory,3/21/2017,4/2/2017,1,5,5
17,03 Apr - 09 Apr,MONTERREY Abierto GNP Seguros,International,4/3/2017,4/9/2017,0,2,0
18,03 Apr - 09 Apr,CHARLESTON Volvo Car Open,Premier,4/3/2017,4/9/2017,0,3,0
19,10 Apr - 16 Apr,BIEL Ladies Open Biel Bienne,International,4/10/2017,4/16/2017,0,2,0
20,10 Apr - 15 Apr,BOGOTA Claro Open Colsanitas,International,4/10/2017,4/15/2017,0,2,0
21,17 Apr - 23 Apr,ZHENGZHOU Zhengzhou Women's Tennis Open,125K Series,4/17/2017,4/23/2017,0,0,0
22,22 Apr - 23 Apr,FED CUP,,4/22/2017,4/23/2017,0,0,0
23,24 Apr - 30 Apr,STUTTGART Porsche Tennis Grand Prix,Premier,4/24/2017,4/30/2017,1,3,6
24,24 Apr - 30 Apr,ISTANBUL TEB BNP Paribas Istanbul Cup,International,4/24/2017,4/30/2017,0,2,0
25,01 May - 06 May,PRAGUE J&T Banka Prague Open,International,5/1/2017,5/6/2017,0,2,0
26,01 May - 06 May,RABAT Grand Prix De SAR La Princesse Lalla Meryem,International,5/1/2017,5/6/2017,0,2,0
27,06 May - 13 May,MADRID Mutua Madrid Open,Premier Mandatory,5/6/2017,5/13/2017,1,5,7
28,15 May - 21 May,ROME Internazionali BNL d'Italia,Premier 5,5/15/2017,5/21/2017,1,4,7
29,21 May - 27 May,NÜRNBERG NÜRNBERGER VERSICHERUNGS CUP 2017,International,5/21/2017,5/27/2017,0,2,0
30,21 May - 27 May,STRASBOURG Internationaux de Strasbourg,International,5/21/2017,5/27/2017,0,2,0
31,28 May - 11 Jun,PARIS Championnats Internationaux de France,Grand Slam,5/28/2017,6/11/2017,1,7,7
32,06 Jun - 11 Jun,BOL Bol Open,125K Series,6/6/2017,6/11/2017,0,0,0
33,12 Jun - 18 Jun,NOTTINGHAM Aegon Open Nottingham,International,6/12/2017,6/18/2017,0,2,0
34,12 Jun - 18 Jun,S-HERTOGENBOSCH Ricoh Open,International,6/12/2017,6/18/2017,0,2,0
35,19 Jun - 25 Jun,BIRMINGHAM Aegon Classic Birmingham,Premier,6/19/2017,6/25/2017,0,3,0
36,19 Jun - 25 Jun,MALLORCA Mallorca Open,International,6/19/2017,6/25/2017,0,2,0
37,25 Jun - 01 Jul,EASTBOURNE Aegon International Eastbourne,Premier,6/25/2017,7/1/2017,0,3,0
38,03 Jul - 16 Jul,LONDON The Championships,Grand Slam,7/3/2017,7/16/2017,0,7,0
